Neighborhood,PopDensity
Blmngtn,867.8256957543709
Blueste,672.188225225224
BrDale,715.1798117398406
BrkSide,768.4063909633384
ClearCr,806.4350730468489
CollgCr,861.3003697148478
Crawfor,901.98961310682
Edwards,630.2611199396324
Gilbert,695.7629186935743
IDOTRR,678.5848204948312
MeadowV,749.2903048169607
Mitchel,843.5431919331672
NAmes,881.8893297634966
NPkVill,664.7192206689826
NWAmes,645.5898002528176
NoRidge,612.4954963073767
NridgHt,766.7559552715454
OldTown,734.8241923585541
SWISU,776.0148848954275
Sawyer,442.68434948401483
SawyerW,672.8336234525241
Somerst,707.8963982064895
StoneBr,979.7475898981481
Timber,768.5140054703866
Veenker,728.6017987205053
